ANIMAL,Sex,DOB,Weight,Genotype,DWI,GRE
190715_7:1,female,5/26/18,27.50,APOE22,N57496,N57497
190715_8:1,female,5/26/18,28.80,APOE22,N57500,N57501
191028_3:1,female,4/26/18,22.30,APOE22,N57694,N57695
191028_4:1,female,4/26/18,24.00,APOE22,N57702,N57703
191028_5:1,female,4/26/18,22.50,APOE22,N57709,N57710
190715_6:1,male,5/26/18,32.90,APOE22,N57498,N57499
190715_9:1,male,5/26/18,29.30,APOE22,N57502,N57503
190715_10:1,male,5/26/18,32.30,APOE22,N57513,N57514
190715_5:1,male,5/26/18,32.00,APOE22,N57552,N57553
191028_7:1,male,8/26/18,28.00,APOE22,N57692,N57693
191028_6:1,male,8/26/18,30.30,APOE22,N57700,N57701
190909_11:1,female,4/26/18,36.20,APOE33,N57582,N57583
190909_12:1,female,4/26/18,30.40,APOE33,N57584,N57585
190909_14:1,female,4/26/18,28.10,APOE33,N57590,N57591
190715_1:1,male,4/26/18,32.70,APOE33,N57546,N57547
190715_2:1,male,4/26/18,36.90,APOE33,N57548,N57549
190715_3:1,male,4/26/18,32.40,APOE33,N57550,N57551
190909_10:1,male,4/26/18,36.40,APOE33,N57580,N57581
190909_13:1,male,4/26/18,34.00,APOE33,N57587,N57588
190610_6:1,female,4/3/18,25.60,APOE44,N57442,N57443
190610_7:1,female,4/3/18,28.70,APOE44,N57447,N57448
190610_8:1,female,4/3/18,25.70,APOE44,N57451,N57517
190610_9:1,female,4/3/18,24.60,APOE44,N57518,N57519
190610_10:1,female,4/3/18,29.60,APOE44,N57522,N57523
190610_1:1,male,4/3/18,30.70,APOE44,N57437,N57438
190610_2:1,male,4/3/18,32.10,APOE44,N57446,N57445
190610_3:1,male,4/3/18,31.60,APOE44,N57449,N57450
190610_4:1,male,4/3/18,30.60,APOE44,N57515,N57516
190610_5:1,male,4/3/18,32.20,APOE44,N57520,N57521
190715_4:1,female,3/21/18,27.80,HN,N57554,N57559
190909_9:1,male,3/21/18,33.40,HN,N57559,N57560